PROJNUM,ActivityType
19980006,Fish Passage
19980007,Fish Passage
19980008,Fish Passage
19980009,Instream
19980009,Riparian
19980009,Fish Passage
19980009,Road
19980009,Upland
19980010,Road
19980011,Instream
19980012,Riparian
19980013,Upland
19980014,Road
19980015,Instream
19980016,Riparian
19980016,Upland
19980017,Instream
19980018,Fish Passage
19980019,Instream
19980019,Riparian
19980019,Road
19980019,Upland
19980020,Instream
19980020,Riparian
19980021,Instream
19980022,Instream
19980023,Instream
19980024,Combined
19980025,Combined
19980026,Instream
19980026,Road
19980027,Instream
19980027,Road
19980028,Instream
19980029,Instream
19980029,Fish Passage
19980030,Instream
19980031,Fish Passage
19980031,Road
19980032,Instream
19980033,Instream
19980034,Instream
19980035,Fish Passage
19980036,Instream
19980037,Instream
19980038,Fish Passage
19980039,Fish Passage
19980040,Fish Passage
19980041,Instream
19980042,Instream
19980043,Instream
19980044,Instream
19980045,Wetland
19980046,Fish Passage
19980047,Instream
19980048,Riparian
19980049,Riparian
19980050,Fish Passage
19980050,Fish Screening
19980051,Instream
19980053,Riparian
19980054,Riparian
19980055,Riparian
19980055,Upland
19980056,Riparian
19980057,Riparian
19980059,Riparian
19980059,Upland
19980060,Riparian
19980061,Riparian
19980062,Riparian
19980062,Upland
19980063,Riparian
19980063,Upland
19980067,Riparian
19980067,Upland
19980070,Riparian
19980071,Road
19980072,Road
19980073,Riparian
19980074,Fish Passage
19980075,Fish Passage
19980076,Road
19980077,Combined
19980078,Road
19980079,Road
19980080,Instream
19980081,Road
19980082,Road
19980083,Instream
19980084,Riparian
19980085,Riparian
19980086,Riparian
19980087,Road
19980088,Road
19980089,Fish Passage
19980090,Road
19980091,Riparian
19980092,Road
19980093,Instream
19980094,Riparian
19980095,Riparian
19980096,Road
19980097,Road
19980098,Road
19980099,Road
19980100,Instream
19980101,Combined
19980102,Combined
19980103,Road
19980104,Road
19980105,Fish Passage
19980106,Riparian
19980107,Riparian
19980108,Riparian
19980109,Riparian
19980110,Riparian
19980111,Riparian
19980112,Riparian
19980113,Riparian
19980114,Riparian
19980115,Riparian
19980116,Riparian
